Nature,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
(classification),,,,,
Petty Theft P.C. 488,2020-001,01/05/2020 1625 hrs.,01/05/2020 0800 hrs.,,
"",,,,Performing Arts,
"",,,,,Closed
Vandalism P.C. 594,,,01/05/2020 1620 hrs.,(PA),GPD Case#20-00424
Petty Theft,,,,,
"",,,,Physical Education,
"",2020-002,01/20/2020 1150 hrs.,01/20/2020 1130 hrs.,,Closed
P.C. 488,,,01/20/2020 1150 hrs.,(PE),GPD Case#20-02097
Drug Law Violation,2020-003,01/22/2020 1734 hrs.,01/22/2020 1734 hrs.,Parking Lot,Closed
H. & S. 11357,,,,(E6),GPD Case#20-02352
Petty Theft P.C. 488,2020-004,01/28/2020 0700 hrs.,01/28/2020 0530 hrs.,Campus Center,Closed
Vandalism P.C. 594,,,01/28/2020 0700 hrs.,(CC),GPD Case#20-02918
Hit and Run,2020-005,02/11/2020 1230 hrs.,02/11/2020 0910 hrs.,,
"",,,,Parking Lot,
"",,,,,Closed
C.V.C. 20002,,,02/11/2020 1215 hrs.,(S4),GPD Case#20-04886
Assault W\Deadly,,,,Parking Lot,
Weapon P.C. 245,2020-006,02/12/2020 1435 hrs.,02/12/2020 1435 hrs.,(S4),Closed GPD Case#20-05027
Criminal Threats P.C. 422,,,,,
Hit and Run,,,,,
"",,,,Parking Lot,
"",2020-007,02/20/2020 1110 hrs.,02/20/2020 0945 hrs.,,Closed
C.V.C. 20002,,,,(S2),GPD Case#20-05957
Motor Vehicle Theft,2020-008,02/24/2020 1654 hrs.,02/24/2020 1620 hrs.,Parking Lot,Closed
C.V.C. 10851 (A),,,02/24/2020 1650 hrs.,(S6),GPD Case#20-06657
Petty Theft,,,,,
"",,,,Field House,
"",2020-009,02/24/2020 1835 hrs.,02/24/2020 1200 hrs.,,Closed
P.C. 488,,,02/24/2020 1600 hrs.,(FH),GPD Case#20-06667
Nature,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
(classification),,,,,
Grand Theft,2020-010,02/26/2020 1716 hrs.,02/26/2020 1255 hrs.,Physical Education,Closed
P.C. 487,,,02/26/2020 1415 hrs.,(PE),GPD Case#20-07179
Petty Theft,2020-011,02/27/2020 1214 hrs.,02/26/2020 1030 hrs.,,
"",,,,Student Services,
"",,,,,Closed
P.C. 488,,,02/26/2020 1105 hrs.,(SS),GPD Case#20-07291
Drug Law Violation,,,,,
"",,,,Video Technology,
"",2020-012,03/03/2020 1517 hrs.,03/03/2020 1517 hrs.,,Closed
H. & S. 11357,,,,(VT),GPD Case#20-07913
Petty Theft,2020-013,03/05/2020 1703 hrs.,03/05/2020 0830 hrs.,Parking Lot,Closed
P.C. 488,,,03/05/2020 1630 hrs.,(S1),GPD Case#20-08186
Hit and Run,2020-014,03/10/2020 1732 hrs.,03/10/2020 1215 hrs.,,
"",,,,Parking Lot,
"",,,,,Closed
C.V.C. 20002,,,03/10/2020 1730 hrs.,(S8),GPD Case#20-08749
Petty Theft,2020-015,03/11/2020 1649 hrs.,03/11/2020 1500 hrs.,,
"",,,,Physical Science,
P.C. 488,,,03/11/2020 1610 hrs.,(PS),Closed
Damage to District,2020-016,03/17/2020 2042 hrs.,03/17/2020 0000 hrs.,,
"",,,,Physical Education,
"",,,,,Closed
Property,,,03/17/2020 1830 hrs.,(PE),
Vandalism,2020-017,04/30/2020 0910 hrs.,04/29/2020 1700 hrs.,Student Services,Closed
P.C. 594,,,04/30/2020 0905 hrs.,(SS),GPD Case#20-13116
Resisting Arrest,,,,,
"",,,,Parking lot,
"",2020-018,05/07/2020 0800 hrs.,05/01/2020 1700 hrs.,,Closed
P.C. 148 (a),,,,(S1),GPD Case#20-13245
Vandalism,,,,,
"",,,,Church Lot,
"",2020-019,05/24/2020 1144 hrs.,05/24/2020 0230 hrs.,,Closed
P.C. 594,,,,(CL),GPD Case#20-15435
Vandalism,2020-020,06/18/2020 1007 hrs.,06/18/2020 1007 hrs.,Performing Arts,Closed
P.C. 594,,,,(PA),GPD Case#20-17737
Drunk in Public,,,,,
"",,,,Parking lot,
"",2020-021,06/20/2020 0535 hrs.,06/20/2020 0535 hrs.,,Closed
P.C. 647(F),,,06/20/2020 0605 hrs.,(S2),GPD Case#20-17916
Nature,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
(classification),,,,,
Trespassing,2020-022,07/09/2020 1520 hrs.,07/09/2020 1520 hrs.,Administration,Closed
P.C. 602,,,,(AD),GPD Case#20-19695
Vandalism,2020-023,08/05/2020 2333 hrs.,08/05/2020 2100 hrs.,,
"",,,,Parking lot,
"",,,,,Closed
P.C. 594,,,08/05/2020 2333 hrs.,(S9),GPD Case#20-22176
Obstruction,,,08/22/2020 1830 hrs.,,
"",,,,Parking lot,
"",2020-024,08/22/2020 1830 hrs.,,,Closed
P.C. 148 (a) 1,,,08/22/2020 1905 hrs.,(S2),GPD Case#20-23722
Trespassing,2020-025,09/15/2020 1045 hrs.,09/14/2020 2300 hrs.,Baseball Field,Closed
P.C. 602,,,09/15/2020 1053 hrs.,(BF),GPD Case#20-25656
Drunk in Public,,,,,
P.C. 647(F),,,,,
Trespassing,,,,,
"",2020-026,10/29/2020 1618 hrs.,10/29/2020 1618 hrs.,,
"",,,,Performing Arts,
"",,,,,Closed
P.C. 602,,,,,
"",,,10/29/2020 1643 hrs.,(PA),GPD Case#20-29663
Resisting Arrest,,,,,
P.C. 148 (a),,,,,
"",,,,,
Vandalism,,,,,
"",,,,Stadium,
"",2020-027,11/25/2020 1730 hrs.,11/25/2020 1730 hrs.,,Closed
P.C. 594,,,,(ST),GPD Case#20-31996
Vandalism,2020-028,11/30/2020 1421 hrs.,11/29/2020 0624 hrs.,Golf Range,Closed
P.C. 594,,,11/30/2020 1421 hrs.,(GR),GPD Case#20-32347
Trespassing,,,12/08/2020 1024 hrs.,,
"",,,,Parking lot,
"",2020-029,12/08/2020 1024 hrs.,,,Closed
P.C. 602,,,12/08/2020 1226 hrs.,(S6),GPD Case#20-33057
Drunk in Public,,,,Parking lot,
P.C. 647(F),2020-030,12/29/2020 2245 hrs.,12/29/2020 2245 hrs.,,Closed
