"Nature
Case #
Reported
Occurred
Location
Disposition
On Campus?","","","","","",""
"Petty Theft","21‐69","03/04/2021 02:38","03/04/2021  02:38 ‐ 
03/04/2021 04:27","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Clred By Adult Arrest 
03/04/2021","No"
"Possess Unlawful Paraphernalia","21‐70","03/04/2021 20:34","03/04/2021  20:34 ‐ 
03/04/2021 21:15","N Gym, 5305 N Campus Dr, Fresno","Clred By Adult Arrest 
03/04/2021","No"
"Bench Warrant For Fta","","","","","",""
"Bench Warrant For Fta","21‐71","03/05/2021 22:26","03/05/2021 ‐ 
03/05/2021","N Cedar Ave/E Barstow Ave, Fresno","Suspended","No"
"Burglary","21‐72","03/09/2021 10:51","01/03/2021  20:00 ‐ 
01/04/2021 11:00","Marks/Nelsen, Fresno","Suspended 03/09/2021","No"
"HIT&RUN PROP DAMAG:NOTIFY","21‐74","03/10/2021 15:57","03/01/2021  13:15 ‐ 
03/01/2021 14:50","Shipping Receiving, 2671 E Barstow 
Ave, Fresno","Clred By Other Means 
03/11/2021","No"
"Sex Battery:Sex Arousal","21‐75","03/11/2021 18:01","03/11/2021  17:45 ‐ 
03/11/2021 18:00","Music Bldg, 2380 E Keats Ave, Fresno","Information Only 
03/11/2021","No"
"Battery On Person","","","","","",""
"Fire","210312
0050","03/12/2021 09:23","","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Necessary Action Taken","Unknown"
"Burglary reported via another LEA 
for Clery","21‐80","03/17/2021 13:49","02/23/2020  02:00 ‐ 
02/23/2020 02:30","Springville Suites, 1500 Hotel Circle, 
Kansas C","Information Only","No"
"Open Alcohol Container in Public","21‐81","03/17/2021 19:56","03/17/2021  19:56 ‐ 
03/17/2021 20:23","Lab School, 5048 N Jackson Ave, 
Fresno","Cited 03/17/2021","No"
"Theft Personal Property","21‐82","03/19/2021 14:03","03/18/2021  09:00 ‐ 
03/19/2021 14:00","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Suspended","No"
"Fight In Public Place","21‐84","03/23/2021 13:30","03/23/2021  13:30 ‐ 
03/23/2021 13:30","Education Bldg, 5005 N Maple Ave, 
Fresno","Clred By Adult Arrest 
03/23/2021","No"
"Fight In Public Place","","","","","",""
"Petty Theft","21‐86","03/24/2021 08:21","03/23/2021  17:00 ‐ 
03/24/2021 08:15","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Suspended 03/24/2021","No"
"Exhibit Deadwpn:not F/Arm","21‐87","03/24/2021 13:55","03/24/2021  13:55 ‐ 
03/24/2021 14:15","Gibson Farm Market, 5368 N Chestnut 
Ave, Fresno","Suspended 03/24/2021","No"
"Bench Warrant For Fta","21‐94","04/01/2021 18:40","04/01/2021  18:40 ‐ 
04/01/2021 18:40","Newman Center, 1572 E Barstow Ave, 
Fresno","Clred By Adult Arrest 
04/01/2021","No"
"Batt Po/Etc W/Injury","21‐96","04/02/2021 15:29","04/01/2021  01:40 ‐ 
04/01/2021 01:42","Topanga Ridge Apts, 4770 N Maple 
Ave, Fresno","Clred By Other Means 
04/02/2021","No"
