"incident_number","rpt_dist","area_occ","dispatch_date","dispatch_time","call_type_code","call_type_text"
"101231005459","1367","Newton","2010-12-31T00:00:00.000","23:59:39","9212N","TRESPASS SUSP NOW"
"101231005484","0147","Central","2010-12-31T00:00:00.000","23:59:08","930W","WMN"
"101231005462","0441","Hollenbeck","2010-12-31T00:00:00.000","23:58:57","246H","HEARD ONLY"
"101231005472","0514","Harbor","2010-12-31T00:00:00.000","23:58:51","242DS","DOM VIOL SUSP"
"101231005479","1126","Northeast","2010-12-31T00:00:00.000","23:58:26","507F","FIREWORKS"
"101231005488","0663","Hollywood","2010-12-31T00:00:00.000","23:58:13","006","CODE 6"
"101231005480","1849","Southeast","2010-12-31T00:00:00.000","23:57:31","242J","J/O"
"101231005473","0941","Van Nuys","2010-12-31T00:00:00.000","23:57:06","620D","DOM VIOL"
"101231005475","0519","Harbor","2010-12-31T00:00:00.000","23:56:42","900","UNKNOWN TROUBLE"
"101231005477","0805",
TRUNCATED
