"incident_number","reporting_district","area_occurred","dispatch_date","dispatch_time","call_type_code","call_type_description"
"171231004878","0156","Central","2017-12-31T00:00:00.000","21:20:33","415M3","MAN W/GUN"
"171231002772","0261","Rampart","2017-12-31T00:00:00.000","15:25:51","594I","INVEST"
"171231004167","0668","Hollywood","2017-12-31T00:00:00.000","19:56:11","006","CODE 6"
"171231001429","0154","Central","2017-12-31T00:00:00.000","10:14:06","415M","MAN"
"171231005435","1761","Devonshire","2017-12-31T00:00:00.000","22:40:15","507P","PARTY"
"171231001192","1966","Mission","2017-12-31T00:00:00.000","08:52:36","594S","SUSP"
"171231000217","1801","Southeast","2017-12-31T00:00:00.000","00:49:27","242A","AMB"
"171231005123","1123","Northeast","2017-12-31T00:00:00.000","22:07:31","415F","FIGHT"
"171231004670","0645","Hollywood","2017-12-31T00:00:00.000","20:56:16","006","CODE 6"
"171231000998","0395","Southwest",
TRUNCATED
