"year","month","average_lafd_call_processing_time","average_lafd_turnout_time_non_ems","average_lafd_turnout_time_ems","average_lafd_travel_time_non_ems","average_lafd_travel_time_ems"
"2016","Jan","0:01:02","0:01:07","0:01:08","0:04:09","0:04:15"
"2016","Feb","0:01:03","0:01:06","0:01:07","0:04:11","0:04:17"
"2016","Mar","0:01:02","0:01:04","0:01:05","0:04:12","0:04:17"
"2016","Apr","0:01:01","0:01:05","0:01:05","0:04:08","0:04:18"
"2016","May","0:01:03","0:01:02","0:01:04","0:04:15","0:04:17"
"2016","Jun","0:01:04","0:01:03","0:01:02","0:04:19","0:04:19"
"2016","Jul","0:01:03","0:01:04","0:01:03","0:04:19","0:04:23"
"2016","Aug","0:01:04","0:01:02","0:01:03","0:04:17","0:04:24"
"2016","Sep","0:01:04","0:01:04","0:01:02","0:04:19","0:04:28"
"2016","Oct","0:01:04","0:01:03","0:01:02","0:04:20","0:04:30"
"2016","Nov","0:01:05","0:01:02","0:01:01","0:04:18","0:04:29"
"2016","Dec","0:01:06","0:01:01","0:01:01","0:04:25"
TRUNCATED
