"month","count"
"2014-01-01T00:00:00.000","9946"
"2014-02-01T00:00:00.000","9828"
"2014-03-01T00:00:00.000","11276"
"2014-04-01T00:00:00.000","11216"
"2014-05-01T00:00:00.000","11694"
"2014-06-01T00:00:00.000","11348"
"2014-07-01T00:00:00.000","10882"
"2014-08-01T00:00:00.000","10945"
"2014-09-01T00:00:00.000","10232"
"2014-10-01T00:00:00.000","10835"
"2014-11-01T00:00:00.000","9990"
"2014-12-01T00:00:00.000","10838"
"2015-01-01T00:00:00.000","10544"
"2015-02-01T00:00:00.000","9462"
"2015-03-01T00:00:00.000","11567"
"2015-04-01T00:00:00.000","11232"
"2015-05-01T00:00:00.000","11793"
"2015-06-01T00:00:00.000","11051"
"2015-07-01T00:00:00.000","11263"
"2015-08-01T00:00:00.000","10651"
"2015-09-01T00:00:00.000","10215"
"2015-10-01T00:00:00.000","10885"
"2015-11-01T00:00:00.000","10036"
"2015-12-01T00:00:00.000","11091"
"2016-01-01T00:00:00.000","10549"
"2016-02-01T00:00:00.000","10124"
"2016-03-01T00:00:00.000","11581"

TRUNCATED
