"month","count"
"2014-01-01T00:00:00.000","984"
"2014-02-01T00:00:00.000","1018"
"2014-03-01T00:00:00.000","969"
"2014-04-01T00:00:00.000","1002"
"2014-05-01T00:00:00.000","895"
"2014-06-01T00:00:00.000","804"
"2014-07-01T00:00:00.000","989"
"2014-08-01T00:00:00.000","1085"
"2014-09-01T00:00:00.000","1199"
"2014-10-01T00:00:00.000","1264"
"2014-11-01T00:00:00.000","1155"
"2014-12-01T00:00:00.000","1096"
"2015-01-01T00:00:00.000","1080"
"2015-02-01T00:00:00.000","960"
"2015-03-01T00:00:00.000","1064"
"2015-04-01T00:00:00.000","1184"
"2015-05-01T00:00:00.000","998"
"2015-06-01T00:00:00.000","1098"
"2015-07-01T00:00:00.000","1243"
"2015-08-01T00:00:00.000","1209"
"2015-09-01T00:00:00.000","1158"
"2015-10-01T00:00:00.000","1132"
"2015-11-01T00:00:00.000","924"
"2015-12-01T00:00:00.000","1000"
"2016-01-01T00:00:00.000","893"
"2016-02-01T00:00:00.000","1247"
"2016-03-01T00:00:00.000","1088"
"2016-04-01T00:00:00.000","1008"
TRUNCATED
