ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
19081540,"03/03/2017, 9:13:00 am","08/17/2019, 5:35:30 am",CARROLLTON,GA,30116,200 Block SOMERSET PLACE,BURGLARY 1ST DEGREE,Breaking & Entering,BURGLARY 1ST DEGREE
18020641,"03/01/2017, 7:00:00 am","06/06/2018, 8:20:51 pm",CARROLLTON,GA,30117,900 Block LOVVORN RD,FRAUD- FINANCIAL IDENTITY,Theft,FRAUD- FINANCIAL IDENTITY
18012258,"03/01/2017, 7:00:00 am","06/06/2018, 8:20:46 pm",CARROLLTON,GA,30117,300 Block BRIARWOOD DRIVE,FRAUD- FINANCIAL IDENTITY,Theft,FRAUD- FINANCIAL IDENTITY
17121220,"03/15/2017, 7:01:00 am","06/06/2018, 9:32:45 am",CARROLLTON,GA,30117,100 Block FAWN CIRCLE,THEFT BY DECEPTION,Theft,THEFT BY DECEPTION
17102384,"01/20/2017, 3:00:00 pm","04/29/2018, 6:56:12 am",CARROLLTON,GA,30117,3200 Block GA,THEFT BY DECEPTION,Theft,THEFT BY DECEPTION
17080920,"02/23/2017, 6:20:00 pm","08/25/2017, 5:09:27 pm",CARROLLTON,GA,30117,NORTH PARK STREET,"GIVING FALSE NAME, ADDRESS, OR DOB TO OFFICER",Quality of Life,"GIVING FALSE NAME, ADDRESS, OR DOB TO OFFICER"
17080025,"02/01/2017, 7:00:00 pm","08/03/2017, 5:08:34 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,STALKING,Proactive Policing,STALKING
17062346,"01/28/2017, 1:16:00 am","07/29/2017, 5:08:46 pm",CARROLLTON,GA,30117,200 Block BLEDSOE STREET,RECKLESS CONDUCT,Traffic,RECKLESS CONDUCT
17062336,"03/01/2017, 3:00:00 pm","08/31/2017, 5:06:37 pm",CARROLLTON,GA,30116,300 Block TANGLEWOOD TRAIL,BURGLARY 1ST DEGREE,Breaking & Entering,BURGLARY 1ST DEGREE
17061847,"01/01/2017, 7:00:00 pm","07/03/2017, 5:09:36 pm",CARROLLTON,GA,30116,100 Block SENTINEL WALK,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
