arresting_agency_url,inmate_race,inmate_sex,inmate_date_of_arrest
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,01/06/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,12/11/2019
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,11/02/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/22/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/30/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,08/23/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/09/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,07/25/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,11/01/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,11/13/2015
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,07/22/2019
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/13/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/04/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,05/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,11/05/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/21/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,03/14/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/29/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,06/14/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,04/22/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,01/14/2020
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/08/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/09/2018
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/22/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,07/11/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,04/14/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,05/27/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,07/03/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,07/11/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/09/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/25/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,09/28/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/28/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/20/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,07/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/28/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,11/03/2019
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,08/04/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/01/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,01/14/2020
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/30/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/27/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,06/20/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/24/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/29/2019
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,12/17/2021
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/28/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,08/24/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,06/19/2020
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/07/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/14/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,02/10/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/18/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/23/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/01/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/25/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,03/01/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,08/31/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,05/04/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/02/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,07/04/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/07/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,08/16/2021
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,05/07/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,04/07/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,09/16/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,11/11/2021
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,02/01/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,12/27/2021
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,05/01/2019
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,06/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/18/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Female,10/29/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/04/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,10/20/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,05/24/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,09/16/2021
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,02/22/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,Black,Male,02/06/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,08/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,10/09/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,05/19/2022
http://www.acadia.lavns.org/roster.aspx?__EVENTTARGET=lbShowAll,White,Male,06/29/2022
