"year","murder_and_manslaughter","rape","robbery","aggravated_assault","burglary","larceny_theft","motor_vehicle_theft","total"
"1985","11","43","660","450","2930","8236","869","13199"
"1986","13","55","717","494","2977","8111","900","13267"
"1987","11","45","580","538","2442","7823","1045","12484"
"1988","14","44","613","524","2840","8280","1302","13617"
"1989","11","57","476","593","2788","7739","1523","13187"
"1990","11","48","618","881","2262","7564","1289","12673"
"1991","14","40","663","834","2663","7594","1379","13187"
"1992","12","28","882","733","2406","8142","1303","13506"
"1993","8","35","815","773","2383","7915","1161","13090"
"1994","8","36","745","605","1740","6998","1140","11272"
"1995","10","33","619","591","1538","7541","1075","11407"
"1996","8","32","492","555","1502","6683","1061","10333"
"1997","11","31","447","476","1260","6612","959","9796"
"1998","2","33","431","472","1443","5922"
TRUNCATED
