"incident_number","reporting_district","area_occurred","dispatch_date","dispatch_time","call_type_code","call_type_description"
"111231006339","1621","Foothill","2011-12-31T00:00:00.000","23:58:21","507F","FIREWORKS"
"111231006338","1371","Newton","2011-12-31T00:00:00.000","23:58:09","507F","FIREWORKS"
"111231006325","1252","77th Street","2011-12-31T00:00:00.000","23:56:47","9045","H & R MISD"
"111231006305","2025","Olympic","2011-12-31T00:00:00.000","23:56:42","246H","HEARD ONLY"
"111231006331","1367","Newton","2011-12-31T00:00:00.000","23:56:40","415G","GRP"
"111231006185","0645","Hollywood","2011-12-31T00:00:00.000","23:56:34","484S","SUSP"
"111231006320","2026","Olympic","2011-12-31T00:00:00.000","23:56:31","507P","PARTY"
"111231006299","0466","Hollenbeck","2011-12-31T00:00:00.000","23:56:13","507P","PARTY"
"111231006136","1239","77th Street","2011-12-31T00:00:00.000","23:55:38","9045","H & R MISD"
"111231006187"
TRUNCATED
