"year","month","average_lafd_call_processing_time","average_lafd_turnout_time_non_ems","average_lafd_turnout_time_ems","average_lafd_travel_time_non_ems","average_lafd_travel_time_ems"
"2013","Jan","0:01:19","0:01:12","0:01:15","0:04:01","0:04:01"
"2013","Feb","0:01:19","0:01:11","0:01:14","0:04:01","0:04:02"
"2013","Mar","0:01:19","0:01:13","0:01:14","0:04:01","0:04:01"
"2013","Apr","0:01:18","0:01:11","0:01:14","0:04:05","0:04:00"
"2013","May","0:01:17","0:01:12","0:01:14","0:04:06","0:04:02"
"2013","Jun","0:01:16","0:01:12","0:01:14","0:04:04","0:04:01"
"2013","Jul","0:01:16","0:01:12","0:01:15","0:04:04","0:04:01"
"2013","Aug","0:01:15","0:01:13","0:01:15","0:04:12","0:04:01"
"2013","Sep","0:01:15","0:01:12","0:01:15","0:04:11","0:04:01"
"2013","Oct","0:01:15","0:01:12","0:01:15","0:04:08","0:04:05"
"2013","Nov","0:01:18","0:01:12","0:01:15","0:04:09","0:04:01"
"2013","Dec","0:01:19","0:01:12","0:01:15","0:04:06"
TRUNCATED
