Name,Contact Info,Jurisdictions Covered
"Allegheny Valley Regional P.D. 100 Plate Dr Harwick, PA 15049",724-274-2843 724-274-4487 (Fax),Cheswick Borough East Deer Township Springdale Township
"Aspinwall P.D. 217 Commercial Ave Aspinwall, PA 15215",412-781-3568 412-781-2233 (Fax),Aspinwall Borough
"Avalon P.D. 640 California Ave Pittsburgh, PA 15202",412-761-0353 412-761-1640 (Fax),Avalon Borough
"Baldwin Borough P.D. 3344 Churchview Ave Pittsburgh, PA 15227",412-881-8000 412-653-0551 (Fax),Baldwin Borough
"Baldwin Township P.D. 10 Community Park Dr Pittsburgh, PA 15234",412-341-5937 412-341-2595 (Fax),Baldwin Township
"Bell Acres P.D. 1151 Camp Meeting Rd Sewickley, PA 15143",412-741-3010 412-741-2027 (Fax),Bell Acres Borough
"Bellevue P.D. 537 Bayne Ave Bellevue, PA 15202",412-766-7401 412-766-5055 (Fax),Bellevue Borough
"Bethel Park P.D. 5100 W. Library Ave Bethel Park, PA 15102",412-831-6800 412-851-0519 (Fax),Bethel Park Borough
"Blawnox P.D. 376 Freeport Rd Pittsburgh, PA 15238",412-828-4149 412-828-9675 (Fax),Blawnox Borough
"Braddock P.D. 639 Corey Ave Braddock, PA 15104",412-351-5400 412-271-0199 (Fax),Braddock Borough
"Braddock Hills P.D. 1300 Brinton Rd Pittsburgh, PA 15221",412-371-1637 412-371-1885 (Fax),Braddock Hills Borough
"Brentwood P.D. 36245 Brownsville Rd Pittsburgh, PA 15227",412-884-3939 412-885-5850 (Fax),Brentwood Borough
"Bridgeville P.D. 425 Bower Hill Road Bridgeville, PA 15017",412-221-6052 412-257-5012 (Fax),Bridgeville Borough
"Carnegie P.D. 1 Veterans Way Carnegie, PA 15106",412-276-4245 412-276-8018 (Fax),Carnegie Borough Pennsbury Village
"Castle Shannon P.D. 3310 McRoberts Rd Pittsburgh, PA 15234",412-885-9300 412-885-9252 (Fax),Castle Shannon Borough
"Churchill P.D. 2300 William Penn Hwy Pittsburgh, PA 15235",412-241-4466 412-241-3314 (Fax),Churchill Borough
"Clairton P.D. 551 Ravensburg Blvd Clairton, PA 15025",412-233-6211 412-233-3036 (Fax),City of Clairton
"Collier P.D. 2418 Hilltop Rd Presto, PA 15142",412-276-5051 412-429-0667 (Fax),Collier Township
"Coraopolis P.D. 1301 4th Ave Coraopolis, PA 15108",412-264-3001 412-264-6952 (Fax),Coraopolis Borough
"Crafton P.D. 100 Stotz Ave Pittsburgh, PA 15205",412-921-2014 412-921-1818 (Fax),Crafton Borough Thornburg Borough
"Crescent P.D. 225 Spring Run Rd Glenwillard, PA 15046",724-457-8100 724-457-1224 (Fax),Crescent Township
"Dormont P.D. 1444 Hillsdale Road Suite 1 Pittsburgh, PA 15216",412-561-8900 412-561-3516 (Fax),Dormont Borough
"Duquesne P.D. 12 South Second St Duquesne, PA 15110",412-469-3774 412-469-0579 (Fax),City of Duquesne
"East McKeesport P.D. 907 Florence Ave East McKeesport, PA 15035",412-824-0324 412-824-3252 (Fax),East McKeesport Borough Wall Borough
"Eastern Mon Valley Regional P.D. 600 Anderson St North Braddock, PA 15104",412-351-4900 412-351-2388 (Fax),East Pittsburgh North Braddock Rankin
"Edgewood P.D. 2 Race St Pittsburgh, PA 15218",412-242-9990 412-242-4027 (Fax),Edgewood Borough
"Edgeworth P.D. 301 Beaver Rd Edgeworth, PA 15143",412-741-9400 412-741-2267 (Fax),Edgeworth Borough
"Elizabeth Township P.D. 522 Rock Run Rd Elizabeth, PA 1507",412-751-7325 412-751-7329 (Fax),Elizabeth Borough Elizabeth Township Forward Township West Elizabeth Borough
"Etna P.D. 437 Butler St Pittsburgh, PA 15223",412-781-6271 412-781-2604 (Fax),Etna Borough
"Fawn Township P.D. 3054 Howes Run Rd Tarentum, PA 15084",724-226-3307 724-226-9466 (Fax),Fawn Township
"Findlay Township P.D. 1271 Route 30 Clinton, PA 15026",724-695-1300 724-695-3390 (Fax),Findlay Township
"Forest Hills P.D. 4400 Greensburg Pike Pittsburgh, PA 15221",412-351-4141 412-351-4367 (Fax),Forest Hills Borough Chalfant Borough
"Fox Chapel P.D. 401 Fox Chapel Rd Pittsburgh, PA 15238",412-963-7220 412-963-1819 (Fax),Fox Chapel Borough
"Franklin Park P.D. 2344 West Ingomar Rd Pittsburgh, PA 15237",412-364-1227 412-364-2339 (Fax),Franklin Park
"Frazer Township P.D. 592 Pittsburgh Mills Circle Tarentum, PA 15084",724-274-4204 724-274-4205 (Fax),Frazer Township
"Glassport P.D. 5th & Monongahela Aves Glassport, PA 15045",412-672-4514 412-672-4104 (Fax),Glassport Borough
"Greentree P.D. 10 West Manila Ave Pittsburgh, PA 15220",412-921-8624 412-921-2395 (Fax),Greentree Borough
